Epoch,Train_Loss,Test_SRCC,Test_PLCC
1,0.803720837981761,0.14279858928429204,0.12442176583580701
2,0.6183114284727754,0.19037746935996938,0.1841804817091398
3,0.5505203090795949,0.16949871179125348,0.1545021063432102
4,0.5101627058091284,0.18519129485257665,0.17251335946379454
5,0.4841783775752332,0.17998834956271925,0.17104916803711182
6,0.465628640065674,0.1684972706182621,0.1606442273585275
7,0.4506334666194034,0.20062004581196421,0.20254460780225142
8,0.43839054763817986,0.19127126903908037,0.18055757322547733
9,0.4292735421607474,0.16195851397515101,0.14656807316915896
10,0.4215925603854556,0.1453961801581076,0.12535077566084693
11,0.4136794320925945,0.19880264203009015,0.19774328758072993
12,0.4095987015161194,0.1879182354179822,0.18232947390973694
13,0.403470033657651,0.17516096266100806,0.16885575619958046
14,0.3975877958686412,0.18368831028383747,0.18002076247637028
15,0.39387726059981754,0.19314268847498473,0.18914635917986083
16,0.3897744942362569,0.20262127034190527,0.20503074211110306
1,0.8012130739308205,0.21742743589652322,0.20773254959819468
2,0.6210629688341076,0.19518100960886198,0.17460411023000602
3,0.5505055242476343,0.19352964098291908,0.18579474017492925
4,0.5104143151215145,0.15244356077586205,0.13854943055173846
5,0.48516280939098166,0.2043354812364637,0.19276903094471548
6,0.46600963065103324,0.22388221145828968,0.22446996729028015
7,0.4513570159673691,0.20018424846805216,0.1948270156166175
8,0.44001818311815505,0.21204603665018673,0.20415984792621694
9,0.43033524977058923,0.21533501218781378,0.2083367569415565
10,0.4226172540368152,0.21850751531247203,0.21856762371278643
11,0.4154558373098614,0.19589263065154125,0.18649374095239074
12,0.4083731012434519,0.20905274930255024,0.2068709266041012
13,0.40381143416176324,0.21757494563004057,0.22807084294420685
14,0.3988516274620505,0.20221182595400639,0.19225449093225525
15,0.3946331351745028,0.20160422763456234,0.19844958091477524
